Timestamp,Day_of_Week,Time_of_Day,Is_Weekend,Is_Holiday,Special_Event,Cub1_VOC (ppm),Cub2_VOC (ppm),Cub3_VOC (ppm),Common_VOC (ppm),Cub1_CO2 (ppm),Cub2_CO2 (ppm),Cub3_CO2 (ppm),Common_CO2 (ppm),Cub1_Temp (°C),Cub2_Temp (°C),Cub3_Temp (°C),Common_Temp (°C),Odor_Level,Cub1_Moisture (%),Cub2_Moisture (%),Cub3_Moisture (%),Common_Moisture (%),Cub1_Load (kg),Cub2_Load (kg),Cub3_Load (kg),Mall_Occupancy,Cub1_Occupancy,Cub2_Occupancy,Cub3_Occupancy,Common_Occupancy
2024-01-01 12:50:00,Monday,12,no,yes,no,264,165,151,274,411,653,583,508,23.2,24.8,25.6,24.2,High,83,74,80,71,32,27,29,2910,2,0,2,2
2024-01-01 12:55:00,Monday,12,no,yes,no,108,197,294,250,680,537,449,548,25.2,25.3,24.7,25.0,High,72,77,79,76,43,43,49,2431,1,0,0,4
2024-01-01 13:00:00,Monday,13,no,yes,no,106,192,294,313,557,578,485,473,25.5,24.9,24.0,25.8,High,84,89,85,78,36,5,10,1636,1,0,1,4
2024-01-01 13:05:00,Monday,13,no,yes,no,278,174,283,188,574,652,565,546,26.7,25.4,25.7,26.3,Medium,75,70,74,60,45,19,0,2249,1,2,1,4
2024-01-01 13:10:00,Monday,13,no,yes,no,193,259,211,152,634,402,482,589,24.1,23.9,26.3,26.1,Medium,88,84,86,79,28,14,24,1012,1,1,2,2
2024-01-01 13:15:00,Monday,13,no,yes,no,243,156,166,216,591,446,505,550,26.9,24.0,23.0,27.5,High,73,74,79,71,3,23,26,1245,2,0,0,5
2024-01-01 13:20:00,Monday,13,no,yes,no,197,223,137,270,565,486,459,472,25.1,24.3,23.6,26.1,High,86,78,87,60,29,3,49,2045,1,0,1,2
2024-01-01 13:25:00,Monday,13,no,yes,no,190,130,127,179,577,484,413,507,26.6,23.9,24.5,27.4,High,85,73,70,61,33,46,4,2653,1,2,2,2
2024-01-01 13:30:00,Monday,13,no,yes,no,262,195,277,220,658,473,518,527,25.5,23.7,26.5,27.5,High,71,79,73,74,9,22,42,1268,2,2,1,2
2024-01-01 13:35:00,Monday,13,no,yes,no,239,145,297,172,655,668,545,530,23.9,24.6,25.1,25.4,Medium,86,84,78,65,46,40,6,1666,1,1,0,5
2024-01-01 13:40:00,Monday,13,no,yes,no,163,244,107,237,616,445,679,616,26.3,25.3,26.9,25.2,High,86,75,75,61,34,48,10,1993,0,1,0,2
2024-01-01 13:45:00,Monday,13,no,yes,no,142,234,240,258,573,571,676,577,23.3,26.4,23.8,25.6,High,87,81,86,73,41,32,13,2839,1,2,0,4
2024-01-01 13:50:00,Monday,13,no,yes,no,284,255,261,296,443,428,483,745,25.2,23.0,26.5,25.6,High,82,74,77,68,13,39,45,2595,2,2,2,5
2024-01-01 13:55:00,Monday,13,no,yes,no,229,235,170,206,554,507,585,698,23.0,26.8,24.5,25.2,High,80,82,86,67,21,30,37,2957,1,2,1,2
2024-01-01 14:00:00,Monday,14,no,yes,no,279,277,192,215,694,594,579,491,24.0,24.7,26.0,24.2,High,86,71,86,75,22,2,4,2561,1,1,0,2
2024-01-01 14:05:00,Monday,14,no,yes,no,279,272,280,172,568,598,562,730,23.7,24.7,23.3,26.2,High,88,73,80,71,37,43,7,1439,1,2,0,4
2024-01-01 14:10:00,Monday,14,no,yes,no,209,230,130,230,410,582,631,537,23.4,23.2,26.3,24.8,High,79,85,82,70,35,35,38,2722,0,1,0,2
2024-01-01 14:15:00,Monday,14,no,yes,no,270,106,122,192,680,653,514,612,24.3,26.4,25.9,25.1,High,74,74,72,73,30,43,14,1481,1,2,1,2
2024-01-01 14:20:00,Monday,14,no,yes,no,246,297,200,280,640,471,409,596,23.5,24.5,25.1,25.4,High,85,81,74,60,37,16,48,2201,0,0,1,5
2024-01-01 14:25:00,Monday,14,no,yes,no,117,110,233,307,509,453,654,472,27.0,23.3,24.7,26.8,High,73,82,80,63,15,20,23,1491,2,2,2,2
2024-01-01 14:30:00,Monday,14,no,yes,no,246,149,263,232,502,491,408,607,25.5,24.4,25.7,24.3,High,86,70,70,70,35,11,6,1883,2,2,2,4
2024-01-01 14:35:00,Monday,14,no,yes,no,160,254,205,283,437,635,400,476,25.6,23.1,26.5,26.4,High,74,70,81,77,6,37,14,1037,0,1,0,5
2024-01-01 14:40:00,Monday,14,no,yes,no,235,187,261,156,517,564,624,506,26.5,24.1,23.1,26.6,Medium,84,72,78,79,17,29,27,2067,2,1,0,4
2024-01-01 14:45:00,Monday,14,no,yes,no,224,241,254,214,409,625,551,482,23.6,26.7,25.1,25.8,High,76,78,79,67,3,30,28,2968,2,2,2,4
2024-01-01 14:50:00,Monday,14,no,yes,no,244,274,287,208,402,694,470,547,23.2,25.9,26.9,25.3,High,78,76,73,75,31,1,45,2984,0,1,1,4
2024-01-01 14:55:00,Monday,14,no,yes,no,152,186,152,246,532,601,470,596,24.5,26.4,24.3,26.1,High,75,86,81,77,49,46,8,1000,2,1,1,4
2024-01-01 15:00:00,Monday,15,no,yes,no,141,191,123,241,582,551,541,483,27.0,24.4,24.5,25.4,High,86,82,79,78,6,4,8,2359,2,2,1,3
2024-01-01 15:05:00,Monday,15,no,yes,no,198,256,264,349,577,574,677,489,23.2,23.4,26.6,24.8,High,75,79,78,64,16,1,34,2929,0,1,2,2
2024-01-01 15:10:00,Monday,15,no,yes,no,252,157,224,202,479,606,608,543,25.4,26.2,25.2,27.9,High,78,85,70,66,47,38,16,2975,0,0,0,3
2024-01-01 15:15:00,Monday,15,no,yes,no,133,136,186,197,596,558,613,749,25.5,26.0,25.8,25.7,High,84,84,80,72,37,26,21,2029,0,0,0,4
2024-01-01 15:20:00,Monday,15,no,yes,no,160,191,169,262,523,597,528,714,27.0,23.9,23.5,26.7,High,83,75,82,79,33,20,42,2501,2,2,1,4
2024-01-01 15:25:00,Monday,15,no,yes,no,150,229,192,313,529,662,514,556,26.8,25.4,23.2,25.3,High,86,81,85,77,24,4,7,1112,2,0,2,3
2024-01-01 15:30:00,Monday,15,no,yes,no,140,116,222,252,540,690,623,707,23.6,23.9,25.1,25.5,High,76,79,80,76,37,27,11,2594,2,1,1,2
2024-01-01 15:35:00,Monday,15,no,yes,no,245,129,107,284,419,430,477,548,26.1,23.9,23.9,24.6,High,77,88,84,60,10,36,49,2719,1,2,2,3
2024-01-01 15:40:00,Monday,15,no,yes,no,284,199,114,326,638,686,696,577,23.4,24.9,24.3,25.8,High,79,79,89,75,26,13,32,2958,1,2,0,2
2024-01-01 15:45:00,Monday,15,no,yes,no,209,211,285,167,680,493,666,717,24.9,25.0,23.9,27.7,High,80,71,79,61,20,14,37,1613,1,1,2,5
2024-01-01 15:50:00,Monday,15,no,yes,no,209,233,189,339,534,670,502,681,25.5,23.1,26.4,26.1,High,76,75,77,66,5,33,45,1799,2,0,0,3
2024-01-01 15:55:00,Monday,15,no,yes,no,185,174,116,317,667,623,578,654,23.7,26.7,26.2,27.0,High,84,71,73,61,31,12,6,1779,2,1,1,3
2024-01-01 16:00:00,Monday,16,no,yes,no,104,284,234,196,542,657,443,488,25.8,23.1,26.3,27.6,High,75,87,85,72,15,19,37,2490,1,1,1,5
2024-01-01 16:05:00,Monday,16,no,yes,no,167,187,291,204,604,624,606,676,24.9,25.8,26.2,24.2,High,83,82,72,77,15,40,32,1064,1,2,2,5
2024-01-01 16:10:00,Monday,16,no,yes,no,245,150,218,340,541,560,435,614,25.6,23.6,23.7,25.3,High,82,75,87,60,1,5,22,2612,1,0,2,4
2024-01-01 16:15:00,Monday,16,no,yes,no,276,146,201,185,518,645,477,666,24.3,25.5,26.5,26.0,High,86,77,71,78,12,1,11,1607,0,2,0,3
2024-01-01 16:20:00,Monday,16,no,yes,no,140,111,222,167,677,687,617,548,24.8,24.8,23.0,27.8,High,78,74,81,61,35,49,24,1253,1,2,2,4
2024-01-01 16:25:00,Monday,16,no,yes,no,284,243,210,323,436,491,590,498,24.4,24.0,25.1,26.4,High,83,87,77,68,48,13,14,1463,0,1,2,3
2024-01-01 16:30:00,Monday,16,no,yes,no,172,166,253,324,526,669,407,647,23.1,26.9,25.1,26.2,High,80,72,86,65,13,43,27,1671,1,2,2,2
2024-01-01 16:35:00,Monday,16,no,yes,no,103,217,182,349,419,511,626,452,23.8,24.0,23.5,26.8,High,81,75,76,78,9,21,36,1699,0,1,2,3
2024-01-01 16:40:00,Monday,16,no,yes,no,262,101,293,170,682,498,440,647,24.5,25.9,25.6,26.6,High,89,83,86,66,12,20,46,2528,0,2,1,4
2024-01-01 16:45:00,Monday,16,no,yes,no,208,198,219,194,670,435,665,549,24.8,24.6,24.1,25.8,Medium,80,73,83,72,25,2,23,2259,0,1,1,2
2024-01-01 16:50:00,Monday,16,no,yes,no,187,297,273,323,663,479,554,699,26.6,23.9,24.5,25.6,High,80,81,84,74,27,29,8,2853,0,0,0,3
2024-01-01 16:55:00,Monday,16,no,yes,no,216,261,298,307,499,463,417,594,25.6,24.7,23.9,27.5,High,73,71,85,67,44,43,33,1738,0,2,2,5
2024-01-01 17:00:00,Monday,17,no,yes,no,185,136,286,199,510,675,418,744,24.8,24.2,23.8,25.3,High,89,82,72,73,14,4,38,2544,1,2,1,2
2024-01-01 17:05:00,Monday,17,no,yes,no,271,192,124,228,539,512,469,722,25.1,25.6,24.2,27.2,High,85,77,81,65,4,9,9,1960,1,1,1,4
2024-01-01 17:10:00,Monday,17,no,yes,no,299,298,124,302,546,629,550,727,23.8,25.8,24.0,24.5,High,75,89,76,66,46,49,39,1974,1,1,0,3
2024-01-01 17:15:00,Monday,17,no,yes,no,235,260,162,298,586,611,471,510,24.9,23.8,25.3,26.7,High,80,75,74,69,34,6,30,1522,2,1,2,2
2024-01-01 17:20:00,Monday,17,no,yes,no,296,190,196,191,679,644,633,642,25.4,24.5,25.5,24.9,High,82,81,84,67,4,24,20,1483,2,1,0,5
2024-01-01 17:25:00,Monday,17,no,yes,no,208,109,211,343,431,422,400,540,24.8,24.6,24.1,24.9,High,80,71,88,74,49,47,45,2126,0,1,1,4
2024-01-01 17:30:00,Monday,17,no,yes,no,196,101,130,164,429,590,424,696,24.5,24.2,23.5,27.3,High,83,85,82,61,15,19,38,2276,2,0,2,5
2024-01-01 17:35:00,Monday,17,no,yes,no,294,177,110,284,404,566,447,462,23.9,24.4,23.3,27.0,High,81,79,89,71,48,25,2,1153,2,0,1,5
2024-01-01 17:40:00,Monday,17,no,yes,no,195,260,288,340,603,455,421,537,23.2,24.4,24.8,25.3,High,77,80,81,65,24,27,8,2695,0,1,0,3
2024-01-01 17:45:00,Monday,17,no,yes,no,185,222,153,179,456,469,470,748,27.0,23.1,25.3,24.9,High,74,80,89,71,18,46,15,1245,1,0,2,2
2024-01-01 17:50:00,Monday,17,no,yes,no,294,217,226,316,643,408,417,489,23.6,23.7,23.2,24.7,High,80,76,70,60,41,18,15,1947,1,0,0,3
2024-01-01 17:55:00,Monday,17,no,yes,no,119,195,112,222,553,530,529,666,24.6,23.8,26.3,27.0,High,78,78,79,61,49,45,0,1861,1,0,2,4
2024-01-01 18:00:00,Monday,18,no,yes,no,186,257,146,233,469,504,581,454,25.7,25.1,23.9,27.8,High,84,87,82,61,1,32,29,2449,0,1,0,2
2024-01-01 18:05:00,Monday,18,no,yes,no,231,174,172,222,636,608,487,600,25.9,23.8,24.8,26.2,High,83,71,82,66,6,33,20,1724,1,1,2,3
2024-01-01 18:10:00,Monday,18,no,yes,no,178,235,135,156,423,407,573,721,24.9,24.5,24.4,24.7,High,71,74,88,73,43,28,7,1154,2,2,0,2
2024-01-01 18:15:00,Monday,18,no,yes,no,190,250,198,329,657,489,676,729,24.5,24.0,23.8,24.9,High,82,86,86,65,46,18,39,1688,1,0,1,3
2024-01-01 18:20:00,Monday,18,no,yes,no,152,197,159,284,690,589,548,497,24.0,23.4,24.2,25.9,High,81,89,74,73,29,5,32,1518,2,2,1,5
2024-01-01 18:25:00,Monday,18,no,yes,no,262,260,124,200,536,632,585,470,24.0,23.3,25.8,27.7,High,77,74,85,77,9,26,15,2198,1,0,1,2
2024-01-01 18:30:00,Monday,18,no,yes,no,156,203,228,292,454,572,457,476,25.9,26.7,23.4,25.3,High,78,80,73,64,29,47,12,2330,2,1,2,4
2024-01-01 18:35:00,Monday,18,no,yes,no,295,169,171,232,500,467,459,508,24.4,23.7,25.8,27.2,High,71,88,75,74,16,4,31,1596,0,2,0,5
2024-01-01 18:40:00,Monday,18,no,yes,no,200,196,125,159,541,608,515,656,26.3,26.7,24.1,24.8,High,78,81,82,69,18,23,35,2965,2,0,1,5
2024-01-01 18:45:00,Monday,18,no,yes,no,127,174,213,339,649,498,666,693,25.5,23.7,24.9,24.9,High,79,83,86,63,10,0,9,1144,0,1,0,2
2024-01-01 18:50:00,Monday,18,no,yes,no,155,214,117,196,608,672,406,517,24.7,25.7,26.0,26.2,Medium,82,70,86,65,8,8,40,2797,0,0,0,3
2024-01-01 18:55:00,Monday,18,no,yes,no,224,142,217,274,691,552,460,635,24.5,25.9,25.0,26.6,High,71,85,83,72,21,47,34,2427,2,1,0,2
2024-01-01 19:00:00,Monday,19,no,yes,no,158,167,231,235,455,447,538,690,26.9,25.6,26.5,27.8,High,82,81,83,61,15,1,1,2541,0,2,2,4
2024-01-01 19:05:00,Monday,19,no,yes,no,171,197,135,314,654,561,517,521,25.0,25.6,26.1,27.3,High,86,73,79,69,9,34,21,1663,2,1,0,3
2024-01-01 19:10:00,Monday,19,no,yes,no,266,224,101,178,693,556,615,550,23.5,26.7,25.1,27.5,High,81,85,78,69,5,43,30,2204,1,2,1,5
2024-01-01 19:15:00,Monday,19,no,yes,no,215,106,185,261,575,663,523,474,25.8,26.8,25.5,26.5,High,72,85,89,72,41,25,35,1388,1,2,2,5
2024-01-01 19:20:00,Monday,19,no,yes,no,208,222,168,162,436,447,659,607,24.7,26.8,25.3,25.1,High,71,73,75,73,16,37,30,1933,0,2,2,2
2024-01-01 19:25:00,Monday,19,no,yes,no,171,185,292,346,686,620,464,472,25.7,25.9,25.9,27.5,High,80,71,74,76,22,31,7,2836,0,2,0,2
2024-01-01 19:30:00,Monday,19,no,yes,no,284,249,171,263,561,541,694,655,25.4,24.8,24.4,25.8,High,81,84,85,75,31,40,27,1641,0,1,2,5
2024-01-01 19:35:00,Monday,19,no,yes,no,126,135,151,318,411,449,679,610,25.6,26.7,24.8,26.1,High,83,74,80,64,10,22,13,1124,1,2,1,2
2024-01-01 19:40:00,Monday,19,no,yes,no,110,157,196,244,596,574,638,712,24.4,26.5,23.2,27.0,High,89,70,73,70,7,42,17,1251,2,0,2,5
2024-01-01 19:45:00,Monday,19,no,yes,no,174,252,109,292,672,636,570,634,23.1,25.1,24.7,27.8,High,77,74,89,70,19,48,11,2708,0,1,0,3
2024-01-01 19:50:00,Monday,19,no,yes,no,297,145,157,267,628,593,568,704,23.7,23.5,25.0,27.4,High,84,70,72,73,5,48,44,1970,1,1,2,5
2024-01-01 19:55:00,Monday,19,no,yes,no,147,100,100,234,598,599,513,518,23.0,25.7,25.0,25.5,High,81,80,87,64,13,9,24,1367,2,2,2,4
2024-01-01 20:00:00,Monday,20,no,yes,no,197,296,108,280,493,480,548,613,25.6,26.0,26.6,25.0,High,83,88,80,76,15,4,29,2012,2,2,2,2
2024-01-01 20:05:00,Monday,20,no,yes,no,124,154,297,325,405,612,443,465,24.0,24.9,25.1,26.1,High,71,70,75,65,37,19,20,2243,2,0,0,5
2024-01-01 20:10:00,Monday,20,no,yes,no,174,240,243,150,569,464,620,599,25.0,23.7,25.2,24.3,Medium,82,83,86,76,45,21,28,2145,0,2,1,3
2024-01-01 20:15:00,Monday,20,no,yes,no,127,273,193,205,531,669,536,608,26.4,24.2,25.0,26.2,High,86,89,77,77,32,5,8,2813,1,2,2,2
2024-01-01 20:20:00,Monday,20,no,yes,no,149,234,172,236,675,499,618,464,23.3,25.5,24.0,26.9,High,74,88,80,66,43,38,19,1053,1,0,2,3
2024-01-01 20:25:00,Monday,20,no,yes,no,232,170,196,238,556,577,688,643,25.9,23.5,24.0,25.6,High,82,77,86,66,42,11,18,1397,2,0,2,5
2024-01-01 20:30:00,Monday,20,no,yes,no,132,288,288,212,695,456,410,663,25.7,25.2,26.6,25.2,High,81,82,87,71,13,27,10,2946,2,2,1,5
2024-01-01 20:35:00,Monday,20,no,yes,no,154,188,127,340,417,480,571,610,24.9,23.5,25.2,27.8,High,71,71,81,68,41,48,33,2033,0,1,0,4
2024-01-01 20:40:00,Monday,20,no,yes,no,224,252,263,215,620,578,468,529,26.4,23.4,23.2,26.2,High,86,84,75,77,5,43,19,2015,2,0,0,5
2024-01-01 20:45:00,Monday,20,no,yes,no,113,197,288,204,670,485,480,720,23.9,26.1,26.6,24.8,High,74,71,85,69,9,13,20,1612,0,1,2,2
2024-01-01 20:50:00,Monday,20,no,yes,no,195,273,289,224,691,415,458,567,25.1,23.6,26.7,25.6,High,86,75,79,68,19,17,34,1945,0,2,2,5
2024-01-01 20:55:00,Monday,20,no,yes,no,194,140,166,238,454,606,504,666,25.2,26.9,23.9,25.2,High,75,80,87,79,2,3,6,1548,0,0,0,4
2024-01-01 21:00:00,Monday,21,no,yes,no,107,107,189,170,595,553,624,534,25.0,25.6,23.0,26.4,Medium,86,71,89,64,3,37,18,1894,2,2,1,2
2024-01-01 21:05:00,Monday,21,no,yes,no,122,271,184,238,413,486,517,733,23.9,26.6,25.8,25.6,High,82,72,81,66,3,36,2,2350,2,1,0,4
2024-01-01 21:10:00,Monday,21,no,yes,no,102,114,260,190,515,418,568,742,26.0,25.4,25.9,25.9,High,81,83,87,71,46,30,2,2824,0,0,1,2
2024-01-01 21:15:00,Monday,21,no,yes,no,299,284,109,292,553,577,662,573,24.0,23.2,23.6,25.4,High,75,78,83,60,17,37,16,1200,2,2,0,5
2024-01-01 21:20:00,Monday,21,no,yes,no,177,168,207,241,591,625,601,580,26.3,25.5,25.3,26.9,High,78,85,71,79,27,29,20,2626,1,2,2,3
2024-01-01 21:25:00,Monday,21,no,yes,no,150,290,191,250,451,686,477,730,26.8,25.1,24.2,26.7,High,72,88,84,71,38,35,40,1193,2,1,1,4
2024-01-01 21:30:00,Monday,21,no,yes,no,100,216,184,318,619,445,451,648,24.7,25.9,25.1,25.3,High,86,85,75,70,24,19,27,1721,1,0,1,4
2024-01-01 21:35:00,Monday,21,no,yes,no,279,275,108,296,425,453,496,557,24.2,24.9,26.6,24.5,High,84,77,77,60,24,47,40,1581,1,0,1,4
2024-01-01 21:40:00,Monday,21,no,yes,no,157,244,104,189,458,503,622,705,24.1,25.6,24.7,25.5,High,79,85,74,73,41,27,3,2291,2,2,2,5
2024-01-01 21:45:00,Monday,21,no,yes,no,135,158,217,333,606,515,417,506,24.9,24.4,24.5,24.3,High,87,77,72,72,35,45,42,2502,1,2,1,3
2024-01-01 21:50:00,Monday,21,no,yes,no,121,257,266,201,501,452,600,481,25.5,23.5,24.6,25.5,High,80,86,87,76,45,5,28,2492,2,2,0,3
2024-01-01 21:55:00,Monday,21,no,yes,no,183,150,257,224,482,426,599,475,24.3,25.7,26.7,24.5,High,74,87,78,73,45,35,4,1938,0,1,0,5
2024-01-02 10:00:00,Tuesday,10,no,no,no,190,278,113,206,421,413,507,627,25.4,26.9,25.2,27.5,High,77,87,78,74,17,27,42,2790,0,1,1,2
2024-01-02 10:05:00,Tuesday,10,no,no,no,278,159,125,265,488,570,577,556,23.1,26.0,24.4,25.9,High,85,88,79,64,46,33,23,1859,1,0,0,3
2024-01-02 10:10:00,Tuesday,10,no,no,no,200,125,248,167,508,453,613,681,25.8,23.4,24.9,24.7,High,85,76,73,75,24,46,10,2058,0,0,2,5
2024-01-02 10:15:00,Tuesday,10,no,no,no,159,169,263,296,430,597,571,681,24.9,26.7,25.0,24.4,High,79,71,74,68,13,44,24,1351,2,0,1,5
2024-01-02 10:20:00,Tuesday,10,no,no,no,159,183,175,278,680,625,553,485,26.1,25.6,24.0,25.7,High,79,87,78,68,0,2,23,2395,2,1,2,4
2024-01-02 10:25:00,Tuesday,10,no,no,no,155,172,279,220,491,580,554,726,23.5,25.2,25.9,27.5,High,77,70,72,79,9,34,24,1967,0,0,2,5
2024-01-02 10:30:00,Tuesday,10,no,no,no,151,275,269,286,482,521,663,740,23.2,23.7,25.0,27.1,High,87,85,76,71,21,4,40,1959,0,2,2,5
2024-01-02 10:35:00,Tuesday,10,no,no,no,103,264,297,281,499,574,505,601,23.9,24.0,23.1,25.1,High,80,78,76,72,8,11,37,2061,2,2,2,5
2024-01-02 10:40:00,Tuesday,10,no,no,no,273,122,222,152,600,591,548,492,26.1,25.8,23.4,27.0,Medium,75,80,83,74,7,4,10,1254,0,1,1,5
2024-01-02 10:45:00,Tuesday,10,no,no,no,189,191,293,234,664,586,563,589,26.6,23.8,25.1,25.6,High,77,70,70,68,9,30,1,1269,2,2,2,4
2024-01-02 10:50:00,Tuesday,10,no,no,no,278,154,229,347,566,637,529,552,23.3,23.4,24.9,27.8,High,84,85,83,75,41,38,7,2974,0,1,0,4
2024-01-02 10:55:00,Tuesday,10,no,no,no,295,285,220,276,405,512,467,520,24.3,24.5,24.0,25.5,High,80,80,89,66,32,12,39,2082,2,1,1,5
